name;anno;teaching;research;citations;industry_income;international _outlook;Spese_personale;spese_indebitamento;sostenibilita_economico_finanziaria;occupazione;laureati;retribuzione;patrimonionetto;conto_economico;niscritti;ndocenti
Politecnico Bari;2019;15.7;17.9;91.8;36.5;29.4;61,84;0.55;1.32;549;629;1377;67446001,66;4267723,7;9952;289
Politecnico Bari;2020;17.3;22.1;84.1;37.1;30.9;61,35;0.00;1.34;497;634;1386;69999975,59;2989933,7;10066;326
Politecnico Bari;2021;16.1;20.4;86.7;36.9;34.0;58,78;0.00;1.40;591;662;1415;71954482,48;3172029,54;10048;329
Politecnico Bari;2022;17.3;22.2;79.2;55.5;34.6;63,22;0.00;1.30;601;671;1466;73343235,88;1824611,79;9950;360
Politecnico Bari;2023;18.5;23.1;73.3;57.9;35.0;63,22;0.00;1.30;569;613;1556;76682059,43;3681483,83;10195;402
Politecnico Marche;2019;21.2;18.8;73.6;40.5;30.5;70,64;0.00;1.16;773;913;1290;120475063;270790;15172;539
Politecnico Marche;2020;22.1;18.9;65.8;40.8;31.2;70,62;0.00;1.16;758;946;1306;120005482;836314;15210;562
Politecnico Marche;2021;19.6;19.3;66.4;42.4;32.4;70,78;0.00;1.16;674;902;1369;118159203;1012012;15072;592
Politecnico Marche;2022;20.8;21.4;67.7;43.8;32.8;71,99;0.00;1.13;800;924;1408;117208211;223576;15226;623
Politecnico Marche;2023;20.4;22.3;73.1;45.4;33.9;71,99;0.00;1.13;734;865;1522;117414755,5;429800,69;15804;653
Politecnico Torino;2019;23.7;21.2;66.9;50.5;47.3;68,41;10.01;1.14;3100;3425;1522;331083331,9;32048,07;33502;986
Politecnico Torino;2020;26.2;25.4;55.3;50.8;46.5;65,19;8.59;1.19;3139;3587;1523;331292261,3;208929,37;33776;972
Politecnico Torino;2021;24.1;26.1;55.5;50.5;48.6;61,99;7.24;1.26;3230;3609;1599;338439547,2;7147285,94;33836;958
Politecnico Torino;2022;24.7;27.2;56.5;52.7;51.2;60,94;7.14;1.28;3996;4406;1632;348022057,2;9582510,03;34299;1113
Politecnico Torino;2023;23.9;26.7;58.4;55.7;48.7;60,94;7.14;1.28;3530;3966;1721;368440840,3;20418783,07;35299;1217
Sapienza University of Rome;2019;38.0;38.3;70.4;44.2;39.6;71,16;0.20;1.15;4281;5769;1259;694462509,5;44998044,71;105134;3357
Sapienza University of Rome;2020;40.4;40.0;69.8;43.6;40.5;68,25;0.44;1.20;4294;6178;1303;836979215,3;140229721;105991;3340
Sapienza University of Rome;2021;51.9;41.4;68.5;44.0;41.4;65,21;0.52;1.25;4798;6492;1346;922299091,9;84899427,53;109254;3510
Sapienza University of Rome;2022;51.5;41.7;70.9;55.9;44.3;66,03;1.16;1.24;5444;6935;1356;991364797,9;69065705,95;109852;3576
Sapienza University of Rome;2023;52.4;44.9;67.7;53.0;43.5;66,03;1.16;1.24;5430;7126;1436;1063533026;72168228,18;113479;3658
Università Bari;2019;17.3;17.0;82.1;37.4;32.0;71,21;0.00;1.15;965;1530;1031;239225873;17518633;42541;1405
Università Bari;2020;16.7;17.1;87.3;36.2;32.2;63,31;0.00;1.30;951;1607;1123;281187470;41961597;42775;1520
Università Bari;2021;17.1;19.5;87.3;35.8;33.1;66,38;0.00;1.24;1128;1639;1186;316453536;35266066;41513;1511
Università Bari;2022;18.1;20.5;81.2;35.9;33.2;67,01;0.00;1.22;1188;1811;1194;332935792;16482258;40788;1537
Università Bari;2023;16.6;22.8;72.5;38.9;33.6;67,01;0.00;1.22;1114;1636;1232;346749523;13813729;40684;1575
Università Bergamo;2019;20.6;20.0;61.6;43.6;34.8;54,99;3.01;1.42;825;961;1325;132186313,1;13684419,99;22167;366
Università Bergamo;2020;19.5;21.0;59.3;40.9;36.6;51,45;2.47;1.53;869;1074;1312;149213808;18301371,36;21746;375
Università Bergamo;2021;18.0;21.4;59.6;39.8;36.5;51,3;2.25;1.54;952;1219;1370;183233268,2;35132107,21;21164;407
