eff_sfa_contoeconomico;eff_sfa_occupazione;eff_sfa_retribuzione
0,331374037;0,635622508;0,912912873
0,265300082;0,624883807;0,92835346
0,268948889;0,643414052;0,924789246
0,205761491;0,810274507;0,99901784
0,280433403;0,818957585;0,999153861
0,09984827;0,667297409;0,987632955
0,118677891;0,667926807;0,989571628
0,125660986;0,669066625;0,994670162
0,10000894;0,706114544;0,996363766
0,106774757;0,709824806;0,997412388
0,048794284;0,834543068;0,998593165
0,051853899;0,837469742;0,998630099
0,169279296;0,836820213;0,998610016
0,206789168;0,864248442;0,998841191
0,37226403;0,867927241;0,999059786
0,510901723;0,76909655;0,996500092
0,906285246;0,748913783;0,996088272
0,741709171;0,757996714;0,996496712
0,608216601;0,851795065;0,999036368
0,606924054;0,830074189;0,998841375
0,427644882;0,605610095;0,917084884
0,7794554;0,57885654;0,893559868
0,658086267;0,58659678;0,887634902
0,329980334;0,589706431;0,890541993
0,277492248;0,605629815;0,965778173
0,504000991;0,697480218;0,996051882
0,594108327;0,667415139;0,990168043
0,821250143;0,65037711;0,98342229
0,637139609;0,68582865;0,98774493
0,589572753;0,666835763;0,992433998
0,181140816;0,839316797;0,996206125
0,134105039;0,848828098;0,997080864
0,912426078;0,834222656;0,996513447
0,868908612;0,843922427;0,997246504
0,816461067;0,838410197;0,997735346
0,021749176;0,563935101;0,965895414
0,137567767;0,566929081;0,958652029
0,236076636;0,561919009;0,96494284
0,231509353;0,582949455;0,985220995
0,24376183;0,586374038;0,989459202
0,274557106;0,941494833;0,999681418
0,682567017;0,936544768;0,999673797
0,760801456;0,934972047;0,999681779
0,484238398;0,620545041;0,883668479
0,574283194;0,632239778;0,935655543
0,006428514;0,549733406;0,874244949
0,23466855;0,555905724;0,913722155
0,342988182;0,567246625;0,879319179
0,33606392;0,574347792;0,898294798
0,727801578;0,586145799;0,977138916
0,5849555;0,554657261;0,959424224
0,654143192;0,564152776;0,987166693
0,707683535;0,551801575;0,971870781
0,791929412;0,572068219;0,992447215
0,738899995;0,573207598;0,995788804
0,091368865;0,602335841;0,979897001
0,175101035;0,614483903;0,993942626
0,235804573;0,629724384;0,994706017
0,140003952;0,670220156;0,99684004
0,247365933;0,662253066;0,9970799
0,087829867;0,670090789;0,993948094
